1020177	Nuevo Mexicali	Mexicali	Baja California Norte	Mexico	177	10.96.9.	1..12
1020178	Las Americas Merida	Merida	Yucatan	Mexico	178	10.126.1.	1..14
1020179	Plaza Monarca	Tijuana	Baja California Norte	Mexico	179	10.96.2.	1..14
1020180	Perisur	Ciudad de Mexico	Ciudad de Mexico	Mexico	180	10.117.2.	1..16
1020181	Pablo Livas	Monterrey	Nuevo Leon	Mexico	181	10.103.3.	1..11
1020182	Americas Celaya	Celaya	Guanajuato	Mexico	182	10.110.6.	1..9
1020183	VIP Perisur	Ciudad de Mexico	Ciudad de Mexico	Mexico	183	10.117.2.	17..20
1020184	Galerias Laguna	Torreon	Coahuila	Mexico	184	10.100.5.	1..11
1020185	VIP Plaza Las Americas	Cancun	Quintana Roo	Mexico	185	10.127.1.	15..18
1020186	Cuatro Caminos	Torreon	Coahuila	Mexico	186	10.100.4.	1..11
1020187	VIP Galerias Laguna	Torreon	Coahuila	Mexico	187	10.100.5.	12..14
1020188	VIP Cuatro Caminos	Torreon	Coahuila	Mexico	188	10.100.4.	10..13
1020189	Galerias Salamanca	Salamanca	Guanajuato	Mexico	189	10.110.10.	1..7
1020190	Plaza Campestre	Ciudad Victoria	Tamaulipas	Mexico	190	10.104.6.	1..12
1020191	San Miguel Izcalli	Cuautitlan Izcalli	Estado de Mexico	Mexico	191	10.116.5.	1..10
1020192	VIP Las Americas Veracruz	Veracruz	Veracruz	Mexico	192	10.120.1.	6..10
1020193	Universidad	Ciudad de Mexico	Ciudad de Mexico	Mexico	193	10.117.4.	1..14
1020194	VIP Universidad	Ciudad de Mexico	Ciudad de Mexico	Mexico	194	10.117.4.	15..19
1020196	Las Americas	Villahermosa	Tabasco	Mexico	196	10.123.1.	1..12
1020197	Sendero Monterrey	Monterrey	Nuevo Leon	Mexico	197	10.103.4.	1..18
1020198	Fashion Mall	Chihuahua	Chihuahua	Mexico	198	10.99.2.	1..10
1020200	VIP Fashion Mall	Chihuahua	Chihuahua	Mexico	200	10.99.2.	11..14
1020201	Plaza Cibeles	Irapuato	Guanajuato	Mexico	201	10.110.5.	1..13
1020202	Galerias Valle Oriente	Monterrey	Nuevo Leon	Mexico	202	10.103.2.	1..14
1020203	VIP Galerias Valle Oriente	Monterrey	Nuevo Leon	Mexico	203	10.103.2.	15..18
1020204	La Paz	La Paz	Baja California Sur	Mexico	204	10.97.1.	1..15
1020205	Oaxaca	Oaxaca	Oaxaca	Mexico	205	10.122.1.	1..14
1020206	Galerias Guadalajara	Guadalajara	Jalisco	Mexico	206	10.109.6.	1..18
1020207	VIP Galerias	Guadalajara	Jalisco	Mexico	207	10.109.6.	19..22
1020208	Morelia Centro	Morelia	Michoacan	Mexico	208	10.115.2.	1..6
1020209	Galerias	Pachuca	Hidalgo	Mexico	209	10.112.2.	1..15
1020212	VIP Villahermosa	Villahermosa	Tabasco	Mexico	212	10.123.2.	16..19
1020213	Plaza Sendero Las Torres	Ciudad Juarez	Chihuahua	Mexico	213	10.99.3.	1..16
1020214	Las Americas	Chetumal	Quintana Roo	Mexico	214	10.127.4.	1..13
1020216	Poliforum	Tuxtla Gutierrez	Chiapas	Mexico	216	10.124.3.	1..14
1020217	Sur Aguascalientes	Aguascalientes	Aguascalientes	Mexico	217	10.108.2.	1..12
