	10.96.9.	12	0	1020177	Nuevo Mexicali	Mexicali	Baja California Norte	Mexico
	10.126.1.	14	0	1020178	Americas Merida	Merida	Yucatan	Mexico
	10.96.2.	14	0	1020179	Plaza Monarca	Tijuana	Baja California Norte	Mexico
	10.117.2.	16	0	1020180	Perisur	Ciudad de Mexico	Ciudad de Mexico	Mexico
	10.103.3.	11	0	1020181	Pablo Livas	Monterrey	Nuevo Leon	Mexico
	10.110.6.	9	0	1020182	Americas Celaya	Celaya	Guanajuato	Mexico
	10.117.2.	4	16	1020183	Perisur (VIP)	Ciudad de Mexico	Ciudad de Mexico	Mexico
	10.100.5.	11	0	1020184	Galerias Laguna	Torreon	Coahuila	Mexico
	10.127.1.	4	14	1020185	Cancun Las Americas (VIP)	Cancun	Quintana Roo	Mexico
	10.100.4.	11	0	1020186	Cuatro Caminos	Torreon	Coahuila	Mexico
	10.100.5.	3	11	1020187	Galerias Laguna (VIP)	Torreon	Coahuila	Mexico
	10.100.4.	4	11	1020188	Cuatro Caminos (VIP)	Torreon	Coahuila	Mexico
	10.110.10.	7	0	1020189	Galerias Salamanca	Salamanca	Guanajuato	Mexico
	10.104.6.	12	0	1020190	Plaza Campestre	Ciudad Victoria	Tamaulipas	Mexico
	10.116.5.	10	0	1020191	San Miguel Izcalli	Cuautitlan Izcalli	Estado de Mexico	Mexico
	10.120.1.	5	5	1020192	Americas Veracruz (VIP)	Veracruz	Veracruz	Mexico
	10.117.4.	14	0	1020193	Universidad	Ciudad de Mexico	Ciudad de Mexico	Mexico
	10.117.4.	5	14	1020194	Universidad (VIP)	Ciudad de Mexico	Ciudad de Mexico	Mexico
	10.123.1.	12	0	1020196	Americas Villahermosa	Villahermosa	Tabasco	Mexico
	10.103.4.	18	0	1020197	Sendero Norte	Monterrey	Nuevo Leon	Mexico
	10.99.2.	10	0	1020198	Plaza del Sol Chihuahua	Chihuahua	Chihuahua	Mexico
	10.99.2.	4	10	1020200	Plaza del Sol Chihuahua (VIP)	Chihuahua	Chihuahua	Mexico
	10.110.5.	13	0	1020201	Plaza Cibeles Irapuato	Irapuato	Guanajuato	Mexico
	10.103.2.	14	0	1020202	Galerias Valle Oriente	Monterrey	Nuevo Leon	Mexico
	10.103.2.	4	14	1020203	Galerias Valle Oriente (VIP)	Monterrey	Nuevo Leon	Mexico
	10.97.1.	15	0	1020204	La Paz	La Paz	Baja California Sur	Mexico
	10.122.1.	14	0	1020205	Oaxaca	Oaxaca	Oaxaca	Mexico
	10.109.6.	18	0	1020206	Galerias Guadalajara	Guadalajara	Jalisco	Mexico
	10.109.6.	4	18	1020207	Galerias Guadalajara (VIP)	Guadalajara	Jalisco	Mexico
	10.115.2.	6	0	1020208	Morelia Centro	Morelia	Michoacan	Mexico
	10.112.2.	15	0	1020209	Galerias Pachuca	Pachuca	Hidalgo	Mexico
	10.123.2.	4	15	1020212	Villahermosa (VIP)	Villahermosa	Tabasco	Mexico
	10.99.3.	16	0	1020213	Las Torres Ciudad Juarez	Ciudad Juarez	Chihuahua	Mexico
	10.127.4.	13	0	1020214	Chetumal	Chetumal	Quintana Roo	Mexico
	10.124.3.	14	0	1020216	Tuxtla Poliforum	Tuxtla Gutierrez	Chiapas	Mexico
	10.108.2.	12	0	1020217	Carrefour Aguascalientes	Aguascalientes	Aguascalientes	Mexico
	10.121.2.	10	0	1020218	Renacimiento	Acapulco	Guerrero	Mexico
	10.99.4.	16	0	1020219	Las Misiones	Ciudad Juarez	Chihuahua	Mexico
	10.99.4.	4	16	1020220	Las Misiones (VIP)	Ciudad Juarez	Chihuahua	Mexico
	10.104.5.	14	0	1020221	Plaza Periferico	Reynosa	Tamaulipas	Mexico
	10.104.5.	4	14	1020222	Plaza Periferico (VIP)	Reynosa	Tamaulipas	Mexico
	10.98.4.	14	0	1020223	Bella Vista 	Ciudad Obregon	Sonora	Mexico
	10.121.3.	12	0	1020224	Pie de la Cuesta	Acapulco	Guerrero	Mexico
	10.116.6.	14	0	1020225	Nezahualcoyotl	Nezahualcoyotl	Estado de Mexico	Mexico
	10.124.5.	10	0	1020226	San Cristobal	San Cristobal de las Casas	Chiapas	Mexico
	10.119.4.	12	0	1020227	Cruz del Sur 	Puebla	Puebla	Mexico
	10.103.5.	14	0	1020231	Cumbres Monterrey	Monterrey	Nuevo Leon	Mexico
	10.109.11.	14	0	1020232	Puerto Vallarta	Puerto Vallarta	Jalisco	Mexico
	10.127.2.	12	0	1020233	Cancun Mall	Cancun	Quintana Roo	Mexico
	10.127.6.	12	0	1020234	Playa del Carmen	Playa del Carmen	Quintana Roo	Mexico
	10.121.4.	8	0	1020235	Galerias Diana	Acapulco	Guerrero	Mexico
	10.117.5.	10	0	1020236	Ajusco	Ciudad de Mexico	Ciudad de Mexico	Mexico
	10.114.2.	9	0	1020237	Salagua	Manzanillo	Colima	Mexico
	10.99.7.	8	0	1020238	Ciudad Cuauhtemoc	Ciudad Cuauhtemoc	Chihuahua	Mexico
	10.118.1.	15	0	1020240	Galerias Cuernavaca	Cuernavaca	Morelos	Mexico
	10.98.3.	12	0	1020241	Nogales	Nogales	Sonora	Mexico
	10.96.15.	7	0	1020242	Tecate	Tecate	Baja California Norte	Mexico
	10.119.5.	12	0	1020243	Centro Sur Puebla	Puebla	Puebla	Mexico
	10.116.8.	14	0	1020244	Ecatepec	Ecatepec	Estado de Mexico	Mexico
	10.116.10.	12	0	1020245	Neza Norte	Nezahualcoyotl	Estado de Mexico	Mexico
	10.127.3.	14	0	1020246	La Gran Plaza Cancun	Cancun	Quintana Roo	Mexico
	10.120.6.	15	0	1020247	Plaza Las Americas Xalapa	Xalapa	Veracruz	Mexico
	10.106.2.	14	0	1020249	Plaza Sendero San Luis	San Luis Potosi	San Luis Potosi	Mexico
	10.100.1.	14	0	1020250	Plaza la Nogalera	Saltillo	Coahuila	Mexico
	10.116.23.	4	16	1020252	Galerias Metepec (VIP)	Metepec	Estado de Mexico	Mexico
	10.116.50.	7	0	1020253	Anfora	Ciudad de Mexico	Ciudad de Mexico	Mexico
	10.116.18.	11	0	1020254	Galerias Atizapan	Atizapan	Estado de Mexico	Mexico
	10.103.6.	16	0	1020255	Galerias Monterrey	Monterrey	Nuevo Leon	Mexico
	10.116.11.	16	0	1020256	Multiplaza Arboledas	Tlalnepantla	Estado de Mexico	Mexico
	10.126.3.	12	0	1020257	Sendero Merida	Merida	Yucatan	Mexico
	10.116.31.	9	0	1020258	Perinorte	Cuautitlan Izcalli	Estado de Mexico	Mexico
	10.115.9.	11	0	1020259	Uruapan	Uruapan	Michoacan	Mexico
	10.120.2.	11	0	1020260	Plaza del Puerto	Veracruz	Veracruz	Mexico
	10.103.6.	4	16	1020261	Galerias Monterrey (VIP)	Monterrey	Nuevo Leon	Mexico
	10.109.7.	14	0	1020262	Centro Sur Guadalajara	Guadalajara	Jalisco	Mexico
	10.96.10.	12	0	1020263	Plaza San Pedro Mexicali	Mexicali	Baja California Norte	Mexico
	10.109.8.	7	0	1020264	Alameda Guadalajara	Guadalajara	Jalisco	Mexico
	10.121.4.	4	8	1020265	Galerias Diana (VIP)	Acapulco	Guerrero	Mexico
	10.118.1.	4	15	1020266	Galerias Cuernavaca (VIP)	Cuernavaca	Morelos	Mexico
	10.116.14.	12	0	1020267	La Cuspide	Naucalpan	Estado de Mexico	Mexico
	10.114.1.	12	0	1020270	Zentralia Colima	Colima	Colima	Mexico
	10.109.15.	16	0	1020272	Tlaquepaque	Guadalajara	Jalisco	Mexico
	10.96.13.	12	0	1020273	Macro Plaza del Mar 	Ensenada	Baja California Norte	Mexico
	10.111.2.	12	0	1020274	Sendero Queretaro	Queretaro	Queretaro	Mexico
	10.98.2.	10	0	1020275	Sendero Hermosillo	Hermosillo	Sonora	Mexico
	10.116.25.	12	0	1020276	Sendero Toluca	Toluca	Estado de Mexico	Mexico
	10.110.3.	10	0	1020277	La Gran Plaza Leon	Leon	Guanajuato	Mexico
	10.119.7.	12	0	1020278	Tehuacan	Puebla	Puebla	Mexico
	10.116.14.	4	12	1020279	La Cuspide (VIP)	Naucalpan	Estado de Mexico	Mexico
	10.103.7.	8	0	1020280	San Roque	Monterrey	Nuevo Leon	Mexico
	10.108.3.	10	0	1020282	Altaria	Aguascalientes	Aguascalientes	Mexico
	10.109.9.	12	0	1020283	Andares (VIP)	Guadalajara	Jalisco	Mexico
